Ue(B)(V),Ua(A)(mV),f(Hz)
1.589,26.46,100
1.598,44.1,300
1.598,52.92,500
1.598,61.74,700
1.598,70.56,900
1.598,79.41,1000
1.589,132.3,2000
1.572,176.4,3000
1.554,291.1,5000
1.519,397,7000
1.492,467.7,9000
1.466,511.8,10000
1.36,652.9,15000
1.289,741.2,20000
1.218,811.8,25000
1.174,855.9,30000
1.139,882.6,35000
1.112,900,40000
1.086,908.8,45000
1.077,917.7,50000
1.051,926.5,55000
1.051,926.5,60000
1.024,926.5,65000
1.051,926.5,70000
1.007,926.5,75000
0.9889,926.5,80000
0.98,917.7,85000
0.98,917.7,90000
0.962,908.8,95000
0.962,908.8,100000
