x',x,bx,by,bz
100,100,-64.2,1259.4,32.39
90,110,-28.2,1494.9,97.76
80,120,-68.1,1927.2,55.66
70,130,-39.6,2311.5,103.57
60,140,-46.2,2829.6,85.18
50,150,-27.3,3332.1,84.21
40,160,-8.4,3822.9,68.21
30,170,27.6,4177.2,69.69
20,180,80.7,4385.7,112.7
10,190,38.4,4547.1,27.1
0,200,24,4590.6,9.68
-10,210,15.3,4569.9,4.84
-20,220,15,4491.4,3.8
-30,230,12.3,4279.2,-18.87
-40,240,11.4,3956.4,-46.6
-50,250,-8.4,3582.6,-91.96
-60,260,-1.5,3028.5,-84.7
-70,270,-10.2,2551.5,-95.34
-80,280,-44.1,2132.4,-131.1
-90,290,-34.5,1717.2,-98.25
-100,300,-40.2,1386.9,-88.57
