x',x,bx,by,bz 
-60,740,-36.3,-12.6,-20.32
-40,720,-36,2.4,-14.52
-20,710,-38.1,51.3,-14.03
0,700,-40.8,113.1,-13.55
20,680,-15,444.9,-3.87
40,660,-1.5,922.8,16.45
60,640,-3,995.7,20.32
80,620,-4.2,1005.9,24.2
100,600,-5.1,1023,25.16
120,580,-6,1021.2,23.23
140,560,-7.5,1017.3,26.13
160,540,-14.1,1019.7,39.2
180,520,-18.6,1016.4,45.01
200,500,-20.4,1016.7,40.17
220,480,-21.6,1025.4,43.56
240,460,-22.5,1026.6,42.14
260,440,-24,1024.2,39.2
280,420,-23.7,1019.4,37.26
300,400,-17.1,1007.1,38.23
320,380,-13.8,978,38.23
340,360,-33.3,828.3,37.75
350,340,-42,202.5,2.4
360,320,-35.1,29.7,-10.16
370,310,-28.5,3.3,-14.03
