x',x,bx,by,bz
100,600,-43.5,198.9,24.68
90,610,-48.3,615.6,31.94
80,620,-45.9,751.5,50.33
70,630,-87.6,995.7,14.52
60,640,-70.8,1199.7,60.01
50,650,-80.1,1503.9,76.47
40,660,-112.2,1883.1,59.53
30,670,-132.9,2263.3,56.14
20,680,-139.2,2587.5,50.82
10,690,-143.1,2839.2,23.23
0,700,-134.7,2948.4,-9.19
-10,710,-117.6,2869.8,-45.98
-20,720,-102.3,2656.2,-94.38
-30,730,-99.3,2351.7,-110.35
-40,740,-103.5,2020.8,-142.29
-50,750,-64.8,1623.3,-98.25
-60,760,-51.6,1289.1,-80.34
-70,770,-45.3,1026.6,-62.92
-80,780,-60.6,848.7,-77.44
-90,790,-51,679.5,-59.56
-100,800,-42.9,536.5,-39.68
