x',x,bx,by,bz
120,80,-40.5,1333.8,66.7
110,90,-5.4,1587.4,122.45
100,100,-32.4,2052.9,84.21
90,110,-36.3,2466.6,50.33
80,120,8.7,2818.2,74.53
70,130,24.3,3143.1,28.55
60,140,70.5,3275.4,48.88
50,150,65.1,3292.6,-15.97
40,160,50.7,3134.7,-61.46
30,170,39.3,2896.8,-66.3
20,180,21,2669.7,-61.46
10,190,2.7,2511.6,-48.8
0,200,-7.8,2416.8,-17.9
-10,210,-26.7,2441.1,3.8
-20,220,-2.4,2514.3,68.2
-30,230,-16.8,2735.7,81.31
-40,240,-31.5,2988,68.24
-50,250,2.7,3159.9,111.8
-60,260,1.2,3286.2,74.53
-70,270,-9.3,3255.3,12.1
-80,280,-18,3036.6,-43.07
-90,290,-1.8,2649.9,-77.9
-100,300,-18,2295.6,-86.15
-110,310,-4.2,1884,-78.4
-120,320,-22.2,1531.8,-75.53
