x',x,bx,by,bz
100,100,-23.1,973.5,79.86
90,110,-82.8,1314.1,19.84
80,120,-87.3,1672.5,32.91
70,130,-70.8,2015.7,75.02
60,140,-73.5,2517,90.99
50,150,-16.8,3006,178.59
40,160,13.5,3600.9,224.57
30,170,88.2,4185.2,312.14
20,180,27.3,4870.3,276.84
10,190,1.8,5425.8,58.08
0,200,32.1,5610.2,47.91
-10,210,55.5,5552.7,2.42
-20,220,54.9,5187.6,-54.2
-30,230,18.6,4782.3,-134.55
-40,240,37.8,4055.7,-113.7
-50,250,28.2,3368.4,-113.74
-60,260,-2.7,2780.1,-125.8
-70,270,-50.1,2328.2,-170.85
-80,280,-12.3,1803,-85.66
-90,290,-18.9,1447.2,-73.56
-100,300,-35.7,1202.7,-76.95
