"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.918218800E-2,-1.818545163E-1,-6.979863644E0,6.965506554E0
2.159317700E-2,-1.483550072E-1,-6.987041950E0,6.955935478E0
2.400411500E-2,-9.571290761E-2,-6.999006271E0,6.951149940E0
2.641505200E-2,-6.699903309E-2,-7.006184578E0,6.936792850E0
2.882599000E-2,-5.024927482E-2,-6.991827965E0,6.924828529E0
3.123692700E-2,-5.982056633E-2,-6.999006271E0,6.932007313E0
3.364786500E-2,-9.092725813E-2,-6.994220734E0,6.934400082E0
3.605880200E-2,-1.052841991E-1,-6.975078106E0,6.941578388E0
3.846974000E-2,-1.411765367E-1,-6.960721016E0,6.943971157E0
4.088067700E-2,-1.459621787E-1,-6.946363926E0,6.965506554E0
4.329161500E-2,-1.627119333E-1,-6.948757172E0,6.963113785E0
4.570255200E-2,-1.746760458E-1,-6.953542709E0,6.963113785E0
4.811349000E-2,-1.531406492E-1,-6.946363926E0,6.953542709E0
5.052447900E-2,-1.435693651E-1,-6.948757172E0,6.953542709E0
5.293541700E-2,-1.411765367E-1,-6.946363926E0,6.939185619E0
5.534635400E-2,-1.339980662E-1,-6.939185619E0,6.929614544E0
5.775729200E-2,-1.244267747E-1,-6.929614544E0,6.927221775E0
6.016822900E-2,-1.196411327E-1,-6.934400082E0,6.927221775E0
6.257916700E-2,-1.363908947E-1,-6.924828529E0,6.924828529E0
6.499010400E-2,-1.387837082E-1,-6.910471916E0,6.922435760E0
6.740104200E-2,-1.387837082E-1,-6.912864685E0,6.917650223E0
6.981197900E-2,-1.292124242E-1,-6.939185619E0,6.915257454E0
7.222291700E-2,-1.028913707E-1,-6.941578388E0,6.922435760E0
7.463385400E-2,-1.004985496E-1,-6.936792850E0,6.951149940E0
7.704479200E-2,-8.135596663E-2,-6.953542709E0,6.979863644E0
7.945572900E-2,-6.939185411E-2,-6.946363926E0,6.999006271E0
8.186666700E-2,-7.178468257E-2,-6.960721016E0,7.020541668E0
8.427760400E-2,-1.028913707E-1,-6.955935478E0,7.025327206E0
8.668859400E-2,-1.268195957E-1,-6.970292568E0,7.022934437E0
8.909953200E-2,-1.292124242E-1,-6.967899323E0,7.034898758E0
9.151046900E-2,-1.268195957E-1,-6.982256413E0,7.056434155E0
9.392140700E-2,-1.387837082E-1,-6.982256413E0,7.070790768E0
9.633234400E-2,-1.292124242E-1,-6.984649181E0,7.077969551E0
9.874328200E-2,-1.148554832E-1,-6.989434719E0,7.092326164E0
1.011542190E-1,-1.148554832E-1,-6.984649181E0,7.082755089E0
1.035651570E-1,-1.052841991E-1,-6.970292568E0,7.068397999E0
1.059760940E-1,-1.124626622E-1,-6.970292568E0,7.063612461E0
1.083870320E-1,-1.220339537E-1,-6.960721016E0,7.058826923E0
1.107979690E-1,-1.052841991E-1,-6.943971157E0,7.054041386E0
1.132089070E-1,-1.196411327E-1,-6.934400082E0,7.037291527E0
1.156198960E-1,-1.244267747E-1,-6.927221775E0,7.037291527E0
1.180308340E-1,-1.100698411E-1,-6.922435760E0,7.022934437E0
1.204417710E-1,-1.052841991E-1,-6.912864685E0,7.006184578E0
1.228527090E-1,-9.810572863E-2,-6.884150982E0,7.001399040E0
1.252636460E-1,-9.332008660E-2,-6.865008354E0,6.989434719E0
1.276745840E-1,-8.614161611E-2,-6.872186661E0,6.965506554E0
1.300855210E-1,-8.374879509E-2,-6.879364967E0,6.953542709E0
1.324964590E-1,-9.332008660E-2,-6.869793892E0,6.943971157E0
1.349073960E-1,-9.092725813E-2,-6.872186661E0,6.943971157E0
1.373183340E-1,-9.332008660E-2,-6.876972198E0,6.955935478E0
1.397292710E-1,-1.004985496E-1,-6.874579430E0,6.963113785E0
1.421402090E-1,-1.148554832E-1,-6.884150982E0,6.960721016E0
1.445511460E-1,-1.076770201E-1,-6.876972198E0,6.953542709E0
1.469621360E-1,-1.004985496E-1,-6.881757736E0,6.948757172E0
1.493730210E-1,-1.124626622E-1,-6.872186661E0,6.948757172E0
1.517840110E-1,-9.810572863E-2,-6.865008354E0,6.965506554E0
1.541949480E-1,-9.810572863E-2,-6.867401123E0,6.970292568E0
1.566058860E-1,-8.853443712E-2,-6.867401123E0,6.970292568E0
1.590168230E-1,-1.004985496E-1,-6.881757736E0,6.984649181E0
1.614277610E-1,-1.052841991E-1,-6.886543751E0,6.989434719E0
1.638386980E-1,-1.172483116E-1,-6.893722057E0,7.010970116E0
1.662496360E-1,-1.387837082E-1,-6.910471916E0,7.020541668E0
1.686605730E-1,-1.579262912E-1,-6.917650223E0,7.037291527E0
