"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.432390700E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.914578200E-2,-2.373009175E-2,1.467609406E-2,5.109310150E-3
4.396765700E-2,-3.652542084E-2,2.391910553E-2,1.834297180E-2
4.878958400E-2,-3.478160501E-2,1.697826385E-2,1.010417938E-2
5.361145900E-2,-1.095937192E-2,1.654386520E-2,-4.444122314E-4
5.843333400E-2,1.328781247E-3,2.604198456E-2,-1.404333115E-2
6.325520900E-2,1.697227359E-3,2.787160873E-2,-1.264572144E-2
6.807708400E-2,-8.377730846E-3,4.168367386E-2,-1.470804214E-2
7.289895900E-2,1.242022216E-2,1.321125031E-2,-1.245641708E-2
7.772083400E-2,3.356638551E-2,9.249687195E-3,3.245067596E-2
8.254270900E-2,4.891785979E-2,2.385139465E-3,7.133769989E-2
8.736463600E-2,4.372484982E-3,-5.031108856E-3,8.011674881E-2
9.218651100E-2,-7.859855890E-3,-1.426172256E-2,9.526586533E-2
9.700838600E-2,-1.249439269E-2,-1.970958710E-2,1.164431572E-1
1.018302610E-1,6.575837731E-3,-2.045679092E-2,1.222605705E-1
1.066521360E-1,1.212682575E-2,-2.189159393E-3,9.572267532E-2
1.114740110E-1,7.168285549E-3,1.614284515E-2,8.239984512E-2
1.162959380E-1,-9.473711252E-4,3.693199158E-2,6.109237671E-2
1.211178130E-1,1.277025789E-2,4.891538620E-2,3.780031204E-2
1.259396880E-1,2.352530509E-2,8.894729614E-2,1.928377151E-2
1.307615630E-1,3.256072849E-2,8.521556854E-2,-1.417827606E-2
1.355834380E-1,2.394294739E-2,8.763694763E-2,-2.666044235E-2
1.404053130E-1,1.794999093E-2,8.098840714E-2,-8.893013000E-3
1.452272400E-1,3.029048443E-3,7.476997375E-2,-9.081840515E-3
1.500491150E-1,7.097043097E-3,7.694149017E-2,-1.505041122E-2
1.548709900E-1,1.455017179E-2,8.611440659E-2,5.705833435E-3
1.596928650E-1,1.714059711E-2,7.667207718E-2,1.651716232E-2
1.645147400E-1,1.992285252E-5,6.084012985E-2,3.974390030E-2
1.693366150E-1,-3.613815457E-2,3.756427765E-2,6.801509857E-2
1.741584900E-1,-5.267905444E-2,9.308338165E-3,1.173796654E-1
1.789804170E-1,-3.056685627E-2,-3.082180023E-2,1.582751274E-1
1.838022920E-1,-2.072818577E-2,-4.319047928E-2,1.712827682E-1
1.886241670E-1,-4.126269370E-2,-5.645704269E-2,1.445498466E-1
1.934460420E-1,-3.199158609E-2,-5.091571808E-2,1.232743263E-1
1.982679170E-1,-3.324379027E-2,-3.755140305E-2,9.330940247E-2
2.030897920E-1,-2.269694209E-2,-3.981113434E-2,7.927656174E-2
2.079116670E-1,-1.590489596E-2,9.079933167E-3,5.976581573E-2
2.127335940E-1,-1.038818061E-2,3.434562683E-2,4.759168625E-2
2.175554690E-1,-3.537926078E-2,2.149295807E-2,4.606246948E-2
2.223773440E-1,-6.451505423E-2,3.331089020E-2,3.627347946E-2
2.271992190E-1,-5.694678426E-2,7.507848740E-2,2.661228180E-2
2.320210940E-1,-5.915670097E-2,7.605552673E-2,2.056598663E-2
2.368429690E-1,-7.550224662E-2,7.576465607E-2,1.338243484E-2
2.416648960E-1,-6.346589327E-2,8.704280853E-2,1.905870438E-2
2.464867710E-1,-5.974774063E-2,8.265542984E-2,3.022003174E-2
2.513086460E-1,-1.247300208E-2,6.881999969E-2,4.796123505E-2
2.561305210E-1,-2.079211175E-2,6.792926788E-2,2.411127090E-2
2.609523960E-1,2.174875140E-2,5.986595154E-2,2.401351929E-2
2.657742710E-1,4.954826832E-2,6.125736237E-2,2.967977524E-2
2.705961980E-1,7.693335414E-2,6.956863403E-2,3.982591629E-2
2.754180730E-1,8.137509972E-2,8.820962906E-2,6.963586807E-2
2.802399480E-1,8.569217473E-2,8.765935898E-2,8.003330231E-2
2.850618230E-1,6.414511800E-2,6.356334686E-2,6.902408600E-2
2.898836980E-1,4.075208306E-2,3.518629074E-2,5.467081070E-2
2.947055730E-1,5.203539878E-2,1.081943512E-2,2.881431580E-2
2.995274480E-1,5.404798687E-2,-1.081991196E-2,4.549503326E-3
3.043493750E-1,6.217318773E-2,-4.149723053E-2,-2.837181091E-3
3.091712500E-1,6.921507418E-2,-7.403945923E-2,-1.835250854E-2
3.139931250E-1,5.990539491E-2,-1.049175262E-1,-1.365184784E-2
3.188150000E-1,8.021125942E-2,-1.212329865E-1,-1.966047287E-2
3.236368750E-1,9.773240983E-2,-1.348886490E-1,-3.256607056E-2
3.284587500E-1,1.005786732E-1,-1.659445763E-1,-3.696632385E-2
3.332806770E-1,6.641967595E-2,-1.822977066E-1,-4.472494125E-2
3.381025520E-1,3.223305196E-2,-1.888756752E-1,-2.633285522E-2
3.429244270E-1,2.581685781E-3,-1.881346703E-1,-3.043460846E-2
3.477463020E-1,-2.127675712E-2,-1.790585518E-1,-3.081512451E-2
3.525681770E-1,-3.105804324E-2,-1.405014992E-1,-4.397773743E-2
