"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.948083900E-2,-2.557996288E-2,-3.588830587E-3,8.475748822E-3
6.189182900E-2,-1.886045001E-2,-3.588830587E-3,1.275180187E-2
6.430276600E-2,-1.275180187E-2,-4.810560029E-3,1.458439697E-2
6.671375600E-2,-7.864884101E-3,-7.254019380E-3,1.458439697E-2
6.912474600E-2,-1.145371469E-3,-1.458439697E-2,1.641699113E-2
7.153568300E-2,3.741546767E-3,-2.252563834E-2,1.641699113E-2
7.394667300E-2,8.017600514E-3,-3.168861195E-2,1.580612548E-2
7.635766200E-2,1.107192412E-2,-4.146244749E-2,1.336266659E-2
7.876860000E-2,1.412624773E-2,-5.184714869E-2,9.086613543E-3
8.117958900E-2,1.534797717E-2,-6.101011857E-2,4.199695308E-3
8.359057900E-2,1.473711245E-2,-7.017309219E-2,5.345066893E-4
8.600151600E-2,1.779143699E-2,-7.567087561E-2,-3.130682046E-3
8.841250600E-2,1.779143699E-2,-7.933606207E-2,-5.574141163E-3
9.082349600E-2,1.656970754E-2,-7.811433077E-2,-9.850194678E-3
9.323443300E-2,1.595884189E-2,-7.261654735E-2,-1.168278884E-2
9.564542300E-2,1.534797717E-2,-6.772962958E-2,-1.351538301E-2
9.805636000E-2,1.656970754E-2,-6.650790572E-2,-1.718057133E-2
1.004673500E-1,1.779143699E-2,-6.284271181E-2,-1.962403022E-2
1.028783390E-1,2.084576152E-2,-5.917752534E-2,-2.145662531E-2
1.052893290E-1,2.267835476E-2,-5.429060757E-2,-2.206749097E-2
1.077002660E-1,2.573267929E-2,-4.818195850E-2,-2.267835476E-2
1.101112560E-1,2.573267929E-2,-3.962985426E-2,-2.145662531E-2
1.125221930E-1,2.328922041E-2,-2.619082667E-2,-2.023489587E-2
1.149331830E-1,2.206749097E-2,-1.091920771E-2,-1.779143699E-2
1.173441730E-1,1.779143699E-2,6.795870606E-3,-1.473711245E-2
1.197551100E-1,1.046105940E-2,2.267835476E-2,-1.046105940E-2
1.221661000E-1,4.352411721E-3,3.978256881E-2,-6.795870606E-3
1.245770890E-1,-3.588830587E-3,5.322159454E-2,-3.130682046E-3
1.269880270E-1,-1.275180187E-2,6.421715766E-2,-7.635809743E-5
1.293990160E-1,-2.313650399E-2,7.399099320E-2,1.756236190E-3
1.318100060E-1,-3.291033953E-2,8.315397054E-2,3.588830587E-3
1.342209430E-1,-4.207331315E-2,9.048434347E-2,4.810560029E-3
1.366319330E-1,-5.184714869E-2,9.720385820E-2,7.254019380E-3
