t,x,y,r,θr,vx,vy,v,θv,ax,ay,a,θa,ω,α,frame,px,py,p,θp,pixelx,pixely,L,K
0.000000E0,-1.213684E-2,2.445127E0,2.445157E0,9.028440E1,,,,,,,,,,,0.000000E0,,,,,1.820792E3,5.382178E2,0.000000E0,
2.000000E-2,-9.697749E-3,2.444517E0,2.444536E0,9.022730E1,-1.524433E-2,-1.524433E-2,2.155874E-2,-1.350000E2,,,,,3.590684E-1,,1.000000E0,-1.524433E-2,-1.524433E-2,2.155874E-2,-1.350000E2,1.820347E3,5.400000E2,2.514160E-3,2.323897E-4
4.000000E-2,-1.274662E-2,2.444517E0,2.444550E0,9.029876E1,-3.048867E-2,6.097733E-2,6.817473E-2,1.165651E2,-9.188839E-17,-1.306657E0,1.306657E0,-9.000000E1,7.082191E-1,1.317317E-1,2.000000E0,-3.048867E-2,6.097733E-2,6.817473E-2,1.165651E2,1.820347E3,5.377723E2,5.563027E-3,2.323897E-3
6.000000E-2,-1.091730E-2,2.446956E0,2.446980E0,9.025563E1,4.573300E-2,-3.048867E-2,5.496423E-2,-3.369007E1,1.524433E0,-4.355524E-1,1.585435E0,-1.594540E1,-1.068694E0,-3.568426E1,3.000000E0,4.573300E-2,-3.048867E-2,5.496423E-2,-3.369007E1,1.822129E3,5.391089E2,8.611893E-3,1.510533E-3
8.000000E-2,-1.091730E-2,2.443297E0,2.443322E0,9.025601E1,-2.144063E-18,-3.048867E-2,3.048867E-2,-9.000000E1,-1.742210E0,-8.711048E-1,1.947849E0,-1.534349E2,3.186630E-3,4.092741E1,4.000000E0,-2.144063E-18,-3.048867E-2,3.048867E-2,-9.000000E1,1.819455E3,5.391089E2,1.227053E-2,4.647794E-4
1.000000E-1,-1.091730E-2,2.445736E0,2.445761E0,9.025576E1,-1.524433E-2,1.524433E-2,2.155874E-2,1.350000E2,-2.177762E-1,1.088881E0,1.110445E0,1.013099E2,3.557889E-1,4.991651E0,5.000000E0,-1.524433E-2,1.524433E-2,2.155874E-2,1.350000E2,1.821238E3,5.391089E2,1.470963E-2,2.323897E-4
1.200000E-1,-1.152707E-2,2.443907E0,2.443934E0,9.027024E1,-1.524433E-2,-4.573300E-2,4.820682E-2,-1.084349E2,2.177762E-1,-1.088881E0,1.110445E0,-7.869007E1,3.621717E-1,-4.991515E0,6.000000E0,-1.524433E-2,-4.573300E-2,4.820682E-2,-1.084349E2,1.819901E3,5.386634E2,1.663790E-2,1.161949E-3
1.400000E-1,-1.152707E-2,2.443907E0,2.443934E0,9.027024E1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,1.306657E0,1.306657E0,1.847892E0,4.500000E1,0.000000E0,-3.076983E1,7.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,1.819901E3,5.386634E2,1.663790E-2,0.000000E0
1.600000E-1,-1.152707E-2,2.443907E0,2.443934E0,9.027024E1,3.048867E-2,-2.144063E-18,3.048867E-2,-4.029226E-15,4.355524E-1,-3.062946E-17,4.355524E-1,-4.029226E-15,-7.147723E-1,-1.021103E1,8.000000E0,3.048867E-2,-2.144063E-18,3.048867E-2,-4.029226E-15,1.819901E3,5.386634E2,1.663790E-2,4.647794E-4
1.800000E-1,-1.030752E-2,2.443907E0,2.443929E0,9.024165E1,3.048867E-2,-2.144063E-18,3.048867E-2,-4.029226E-15,-4.355524E-1,3.062946E-17,4.355524E-1,1.800000E2,-7.147723E-1,1.021103E1,9.000000E0,3.048867E-2,-2.144063E-18,3.048867E-2,-4.029226E-15,1.819901E3,5.395545E2,1.785745E-2,4.647794E-4
2.000000E-1,-1.030752E-2,2.443907E0,2.443929E0,9.024165E1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,-8.711048E-1,6.125893E-17,8.711048E-1,1.800000E2,0.000000E0,2.042207E1,1.000000E1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,1.819901E3,5.395545E2,1.785745E-2,0.000000E0
