 
t,x,y,r,vx,vy,v,ax,ay,a,step,frame,px,p,pixelx,pixely
0.000000E0,-2.205318E-5,2.754442E-1,2.754442E-1,,,,,,,0.000000E0,0.000000E0,,,8.925000E1,1.130000E2
8.333333E-3,5.292764E-4,2.748929E-1,2.748934E-1,3.307977E-2,-3.307977E-2,4.678186E-2,,,,1.000000E0,1.000000E0,3.307977E-2,4.678186E-2,8.950000E1,1.132500E2
1.666667E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,-2.268327E0,2.268327E0,3.207899E0,2.000000E0,2.000000E0,0.000000E0,0.000000E0,8.950000E1,1.132500E2
2.500000E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,3.000000E0,3.000000E0,0.000000E0,0.000000E0,8.950000E1,1.132500E2
3.333333E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,4.000000E0,4.000000E0,0.000000E0,0.000000E0,8.950000E1,1.132500E2
4.166667E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,5.000000E0,5.000000E0,0.000000E0,0.000000E0,8.950000E1,1.132500E2
5.000000E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,6.000000E0,6.000000E0,0.000000E0,0.000000E0,8.950000E1,1.132500E2
5.833333E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,7.000000E0,7.000000E0,0.000000E0,0.000000E0,8.950000E1,1.132500E2
6.666667E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,8.000000E0,8.000000E0,0.000000E0,0.000000E0,8.950000E1,1.132500E2
7.500000E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,9.000000E0,9.000000E0,0.000000E0,0.000000E0,8.950000E1,1.132500E2
8.333333E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,1.000000E1,1.000000E1,0.000000E0,0.000000E0,8.950000E1,1.132500E2
9.166667E-2,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,1.100000E1,1.100000E1,0.000000E0,0.000000E0,8.950000E1,1.132500E2
1.000000E-1,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,1.200000E1,1.200000E1,0.000000E0,0.000000E0,8.950000E1,1.132500E2
1.083333E-1,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,1.300000E1,1.300000E1,0.000000E0,0.000000E0,8.950000E1,1.132500E2
1.166667E-1,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,0.000000E0,1.400000E1,1.400000E1,0.000000E0,0.000000E0,8.950000E1,1.132500E2
1.250000E-1,5.292764E-4,2.748929E-1,2.748934E-1,0.000000E0,0.000000E0,0.000000E0,7.561091E-1,-6.804982E0,6.846859E0,1.500000E1,1.500000E1,0.000000E0,0.000000E0,8.950000E1,1.132500E2
1.333333E-1,5.292764E-4,2.748929E-1,2.748934E-1,1.102659E-2,-9.923932E-2,9.985003E-2,3.402491E0,-4.914709E0,5.977567E0,1.600000E1,1.600000E1,1.102659E-2,9.985003E-2,8.950000E1,1.132500E2
1.416667E-1,7.130529E-4,2.732389E-1,2.732399E-1,5.513296E-2,-1.212925E-1,1.332348E-1,4.914709E0,1.890273E0,5.265691E0,1.700000E1,1.700000E1,5.513296E-2,1.332348E-1,8.958333E1,1.140000E2
1.500000E-1,1.448159E-3,2.728714E-1,2.728752E-1,9.923932E-2,-3.307977E-2,1.046074E-1,2.646382E0,5.670818E0,6.257916E0,1.800000E1,1.800000E1,9.923932E-2,1.046074E-1,8.991667E1,1.141667E2
1.583333E-1,2.367042E-3,2.726876E-1,2.726979E-1,9.923932E-2,-3.307977E-2,1.046074E-1,3.780546E-1,3.780546E-1,5.346499E-1,1.900000E1,1.900000E1,9.923932E-2,1.046074E-1,9.033333E1,1.142500E2
1.666667E-1,3.102148E-3,2.723200E-1,2.723377E-1,9.923932E-2,-3.307977E-2,1.046074E-1,3.780546E-1,-1.134164E0,1.195513E0,2.000000E1,2.000000E1,9.923932E-2,1.046074E-1,9.066667E1,1.144167E2
1.750000E-1,4.021030E-3,2.721363E-1,2.721660E-1,1.102659E-1,-4.410636E-2,1.187600E-1,-3.024436E0,-1.512218E0,3.381423E0,2.100000E1,2.100000E1,1.102659E-1,1.187600E-1,9.108333E1,1.145000E2
1.833333E-1,4.939913E-3,2.715849E-1,2.716299E-1,5.513296E-2,-6.615955E-2,8.612043E-2,-1.890273E0,4.512882E-13,1.890273E0,2.200000E1,2.200000E1,5.513296E-2,8.612043E-2,9.150000E1,1.147500E2
1.916667E-1,4.939913E-3,2.710336E-1,2.710786E-1,5.513296E-2,-4.410636E-2,7.060463E-2,-1.890273E0,7.561091E-1,2.035886E0,2.300000E1,2.300000E1,5.513296E-2,7.060463E-2,9.150000E1,1.150000E2
2.000000E-1,5.858795E-3,2.708498E-1,2.709132E-1,5.513296E-2,-4.410636E-2,7.060463E-2,1.134164E0,-1.512218E0,1.890273E0,2.400000E1,2.400000E1,5.513296E-2,7.060463E-2,9.191667E1,1.150833E2
2.083333E-1,5.858795E-3,2.702985E-1,2.703620E-1,4.410636E-2,-7.718614E-2,8.889922E-2,0.000000E0,-3.780546E-1,3.780546E-1,2.500000E1,2.500000E1,4.410636E-2,8.889922E-2,9.191667E1,1.153333E2
2.166667E-1,6.593901E-3,2.695634E-1,2.696440E-1,7.718614E-2,-5.513296E-2,9.485432E-2,3.402491E0,2.646382E0,4.310485E0,2.600000E1,2.600000E1,7.718614E-2,9.485432E-2,9.225000E1,1.156667E2
2.250000E-1,7.145231E-3,2.693796E-1,2.694744E-1,8.821273E-2,-2.205318E-2,9.092760E-2,6.048873E0,1.512218E0,6.235035E0,2.700000E1,2.700000E1,8.821273E-2,9.092760E-2,9.250000E1,1.157500E2
2.333333E-1,8.064114E-3,2.691958E-1,2.693166E-1,1.764255E-1,-3.307977E-2,1.794999E-1,8.317200E0,3.780546E-1,8.325788E0,2.800000E1,2.800000E1,1.764255E-1,1.794999E-1,9.291667E1,1.158333E2
2.416667E-1,1.008566E-2,2.688283E-1,2.690174E-1,2.425850E-1,-2.205318E-2,2.435854E-1,2.268327E0,1.512218E0,2.726190E0,2.900000E1,2.900000E1,2.425850E-1,2.435854E-1,9.383333E1,1.160000E2
2.500000E-1,1.210720E-2,2.688283E-1,2.691008E-1,2.095052E-1,0.000000E0,2.095052E-1,-4.158600E0,-7.561091E-1,4.226778E0,3.000000E1,3.000000E1,2.095052E-1,2.095052E-1,9.475000E1,1.160000E2
2.583333E-1,1.357741E-2,2.688283E-1,2.691709E-1,1.653989E-1,-3.307977E-2,1.686744E-1,-4.158600E0,-3.402491E0,5.373165E0,3.100000E1,3.100000E1,1.653989E-1,1.686744E-1,9.541667E1,1.160000E2
2.666667E-1,1.486384E-2,2.682770E-1,2.686884E-1,1.433457E-1,-6.615955E-2,1.578768E-1,-4.158600E0,-1.512218E0,4.425015E0,3.200000E1,3.200000E1,1.433457E-1,1.578768E-1,9.600000E1,1.162500E2
2.750000E-1,1.596650E-2,2.677256E-1,2.682013E-1,9.923932E-2,-5.513296E-2,1.135257E-1,-3.780546E-1,1.890273E0,1.927708E0,3.300000E1,3.300000E1,9.923932E-2,1.135257E-1,9.650000E1,1.165000E2
2.833333E-1,1.651783E-2,2.673581E-1,2.678678E-1,1.212925E-1,-3.307977E-2,1.257225E-1,2.646382E0,2.646382E0,3.742549E0,3.400000E1,3.400000E1,1.212925E-1,1.257225E-1,9.675000E1,1.166667E2
