t (s),U1(V),U2(V)
0.00000000,0.63116200,0.00000000
0.00020000,0.63116200,0.00000000
0.00040000,0.63116200,0.00000000
0.00060000,0.63116200,0.00000000
0.00080000,0.63116200,0.00000000
0.00100000,0.63116200,0.00000000
0.00120000,0.63116200,0.00000000
0.00140000,0.63642200,0.00000000
0.00160000,0.63116200,0.00000000
0.00180000,0.63116200,0.00000000
0.00200000,0.63116200,0.00000000
0.00220000,0.63116200,0.00000000
0.00240000,0.63116200,0.00000000
0.00260000,0.63116200,0.00526000
0.00280000,0.63642200,0.00000000
0.00300000,0.63116200,0.00000000
0.00320000,0.63116200,0.00000000
0.00340000,0.63642200,0.00000000
0.00360000,0.63116200,0.00000000
0.00380000,0.63116200,0.00000000
0.00400000,0.63116200,0.00000000
0.00420000,0.63116200,0.00526000
0.00440000,0.63116200,0.00000000
0.00460000,0.63116200,0.00000000
0.00480000,0.63116200,0.00000000
0.00500000,0.63116200,0.00000000
0.00520000,0.63116200,0.00000000
0.00540000,0.63642200,0.00000000
0.00560000,0.63642200,0.00000000
0.00580000,0.63116200,0.00000000
0.00600000,0.63116200,0.00000000
0.00620000,0.63116200,0.00000000
0.00640000,0.63116200,0.00000000
0.00660000,0.63116200,0.00000000
0.00680000,0.63116200,0.00000000
0.00700000,0.63642200,0.00000000
0.00720000,0.63116200,0.00000000
0.00740000,0.63116200,0.00000000
0.00760000,0.63116200,0.00000000
0.00780000,0.63642200,0.00000000
0.00800000,0.63116200,0.00000000
0.00820000,0.63116200,0.00000000
0.00840000,0.63116200,0.00000000
0.00860000,0.63116200,0.00000000
0.00880000,0.63116200,0.00000000
0.00900000,0.63642200,0.00000000
0.00920000,0.63116200,0.00000000
0.00940000,0.63116200,0.00000000
0.00960000,0.63116200,0.00000000
0.00980000,0.63116200,0.00000000
0.01000000,0.63116200,0.00000000
0.01020000,0.63116200,0.00000000
0.01040000,0.63116200,0.00000000
0.01060000,0.63642200,0.00000000
0.01080000,0.63642200,0.00000000
0.01100000,0.63116200,0.00000000
0.01120000,0.63116200,0.00000000
0.01140000,0.63116200,0.00000000
0.01160000,0.63116200,0.00000000
0.01180000,0.63116200,0.00526000
0.01200000,0.63116200,0.00526000
