Task I ,,,,
Try,Time,RPM,,
1,"6,22","83,5",,
2,"6,41","84,9",,
3,"6,29","82,7",,
4,"6,38","82,7",,
5,"6,53","81,9",,
6,"6,5","81,9",,
7,"6,53","82,4",,
8,"6,37","82,2",,
9,"6,41","82,4",,
10,"6,66","81,5",,
11,"6,53","81,8",,
12,"6,81","82,1",,
13,"6,72","80,4",,
,,,,
Task II,,,,
,Time(s),RPM,,
,,Try I ,Try II ,Try III
0,0,590,614,560
1,10,"562,3","582,4","527,4"
2,20,"528,8","574,3","496,3"
3,30,"497,4","513,4",466
4,40,"465,7","482,4","440,2"
5,50,"436,8","454,1","413,2"
6,60,"408,7","426,1","388,1"
7,70,"382,7",399,"363,2"
8,80,"358,1","373,5","339,6"
9,90,"335,7","350,2","317,7"
10,100,"313,2",328,"297,3"
11,110,"291,7","305,3","278,8"
12,120,"270,9","284,6","259,4"
,,,,
Task III,,,,
m1,ω0,ω1,time,
1,"488,8","285,8","13,19",
2,"541,8",478,"15,65",
3,"475,7","422,2","14,04",
4,350,316,"10,75",
5,"350,4","313,1","10,38",
6,"360,8","322,7",11,
7,"475,5","421,4",14,
8,"451,9","409,9","13,44",
9,"548,7","486,6","16,97",
10,"587,2","517,1","18,56",
11,366,248,"10,34",
m2,ω0,ω1,time,
1,"399,5","212,5","5,84",
2,"514,8","417,7","6,27",
3,597,548,"8,91",
4,548,"526,7","8,77",
5,"530,6","479,3","7,18",
6,"479,3","459,8","7,5",
7,"478,5","444,2","6,71",
8,"444,2","422,2","6,82",
9,"422,2",408,"6,16",
10,"382,6","353,3","5,34",
11,"391,5","316,6","5,2",
12,386,"360,8","5,2",
,,,,
Task IV ,,,,
1,α(degrees),ω0,ω1,t
2,10,"287,3","278,12","5,34"
3,11,"307,5","296,62","3,74"
4,9,"296,62","269,8","5,26"
5,8,"224,62","249,12","5,9"
6,7,"334,5",316,"3,1"
7,6,316,"329,12","3,16"
8,6,"314,12","319,8","4,68"
9,5,"319,8","305,5","4,94"
10,5,"305,5","282,8","5,24"
11,5,"282,8","279,1","5,57"
12,4,"288,5","281,7","5,57"
13,9,"235,7","215,5","6,69"
14,8,"215,5","210,1","6,88"
15,5,"210,1",200,"7,23"
16,5,200,190,"7,81"
17,3,190,"182,12","7,83"
18,10,"297,62","292,7","6,05"
19,7,"292,7","284,25","4,98"
20,6,"284,2","271,125","5,63"
21,5,"271,1","263,8","5,96"
22,4,"263,8",242,"6,11"
